,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Fund_Utilization_Ratio,Physical_Achievement_Rate,Beneficiary_Coverage_Rate
Sanctioned_Amount_Lakhs,1.0,0.9457653308366587,0.6915910307715762,0.021688093887918772,0.04015521966236678,0.03840791642173723
Fund_Released_Lakhs,0.9457653308366587,1.0,0.7225926172085043,0.00823286928663438,0.028854071277526597,0.03303034366382157
Fund_Utilized_Lakhs,0.6915910307715762,0.7225926172085043,1.0,0.5427511095712548,0.44844001965540875,0.4545932856561091
Fund_Utilization_Ratio,0.021688093887918772,0.00823286928663438,0.5427511095712548,1.0,0.678862280599504,0.6575012684286015
Physical_Achievement_Rate,0.04015521966236678,0.028854071277526597,0.44844001965540875,0.678862280599504,1.0,0.9590586273964731
Beneficiary_Coverage_Rate,0.03840791642173723,0.03303034366382157,0.4545932856561091,0.6575012684286015,0.9590586273964731,1.0
