,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Fund_Utilization_Ratio,Physical_Achievement_Rate,Beneficiary_Coverage_Rate
Sanctioned_Amount_Lakhs,1.0,0.9310865293869101,0.7079401752445291,0.01891900531535311,0.048420046255364675,0.044045360741361665
Fund_Released_Lakhs,0.9310865293869101,1.0,0.7557095657848072,0.007081616909017654,0.029730115949714492,0.029941759294446185
Fund_Utilized_Lakhs,0.7079401752445291,0.7557095657848072,1.0,0.5585655849657861,0.41416527611231035,0.4156961387038918
Fund_Utilization_Ratio,0.01891900531535311,0.007081616909017654,0.5585655849657861,1.0,0.686791708850121,0.6796661060266008
Physical_Achievement_Rate,0.048420046255364675,0.029730115949714492,0.41416527611231035,0.686791708850121,1.0,0.9969862241214353
Beneficiary_Coverage_Rate,0.044045360741361665,0.029941759294446185,0.4156961387038918,0.6796661060266008,0.9969862241214353,1.0
